09:57:42 <Info> Welcome to the update program! (v3.2.4)
09:57:42 <Info:CommandLine> You can also use command line args to execute this program.
09:57:42 <Info:GetDataPath> Paste the full path of game directory here. It's usually ended with "Genyuan Imsact game".
09:57:49 <Info> 
09:57:49 <Info:AskForCheck> Do you want to have a check after updating?
09:57:49 <Info:AskForCheck> If you don't want any check, type 0;
09:57:49 <Info:AskForCheck> For a fast check (recommended, only compares file size, usually < 10s), type 1;
09:57:49 <Info:AskForCheck> For a full check (scans files, takes a long time, usually > 5 minutes), type 2.
09:57:54 <Info> 
09:57:54 <Info:UpdateCheck> Start verifying...

09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\GameAssembly.dll
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\UnityPlayer.dll
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta.exe
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\globalgamemanagers
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\globalgamemanagers.assets
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\resources.assets
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\il2cpp_data\Metadata\global-metadata.dat
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\il2cpp_data\Metadata\startup-metadata.dat
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\Plugins\x86_64\AccountPlatNative.dll
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\Plugins\x86_64\AkSoundEngine.dll
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\Plugins\x86_64\AkWaapiClient.dll
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\Plugins\x86_64\APM4webCrashH.dll
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\Plugins\x86_64\APM4webCrashR.exe
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\Plugins\x86_64\crashreport.exe
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\Plugins\x86_64\cri_mana_vpx.dll
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\Plugins\x86_64\HoYoSDKNetworkFallback.dll
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\Plugins\x86_64\HYPass.dll
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\Plugins\x86_64\kcp.dll
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\Plugins\x86_64\MasteringSuite.dll
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\Plugins\x86_64\telemetry.dll
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\Plugins\x86_64\vk_swiftshader.dll
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\Plugins\x86_64\XGamingRuntimeThunks.dll
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\Plugins\x86_64\ZFEmbedWeb.dll
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\Plugins\x86_64\ZFGameBrowser.exe
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\Plugins\x86_64\ZFProxyWeb.dll
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\Resources\unity_builtin_extra
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\audio_version
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\data_version
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\res_version
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Audio\Windows\Full\SoundBank_SFX_0.pck
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Audio\Windows\Full\SoundBank_SFX_1.pck
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Audio\Windows\Full\SoundBank_SFX_10.pck
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Audio\Windows\Full\SoundBank_SFX_11.pck
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Audio\Windows\Full\SoundBank_SFX_12.pck
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Audio\Windows\Full\SoundBank_SFX_13.pck
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Audio\Windows\Full\SoundBank_SFX_14.pck
09:57:54 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Audio\Windows\Full\SoundBank_SFX_15.pck
